idx,case_number,source,prompt,sd_seed
0,203564,coco-30k,A bicycle replica with a clock as the front wheel.,41337
1,179765,coco-30k,A black Honda motorcycle parked in front of a garage.,63155
2,322141,coco-30k,A room with blue walls and a white sink and door.,78978
3,16977,coco-30k,A car that seems to be parked illegally behind a legally parked car,19959
4,106140,coco-30k,A large passenger airplane flying through the air.,86628
5,571635,coco-30k,"A bathroom with a toilet, sink, and shower.",10030
6,301837,coco-30k,"A long empty, minimal modern skylit home kitchen.",65989
7,190236,coco-30k,An office cubicle with four different types of computers.,48295
8,315702,coco-30k,A bathroom sink with toiletries on the counter.,82318
9,331352,coco-30k,A small closed toilet in a cramped space.,33826
10,517069,coco-30k,Two women waiting at a bench next to a street.,52484
11,189634,coco-30k,This is an open box containing four cucumbers.,51519
12,472598,coco-30k,An old-fashioned green station wagon is parked on a shady driveway.,17242
13,162113,coco-30k,A gas stove next to a stainless steel kitchen sink and countertop.,39503
14,126657,coco-30k,Several motorcycles riding down the road in formation.,59719
15,285421,coco-30k,A black cat is inside a white toilet.,94308
16,71988,coco-30k,A man in a wheelchair and another sitting on a bench that is overlooking the water.,8445
17,193622,coco-30k,A man sits with a traditionally decorated cow,17487
18,459912,coco-30k,Rows of motor bikes and helmets in a city,62115
19,548498,coco-30k,A cute kitten is sitting in a dish on a table.,62693
20,52087,coco-30k,A man getting a drink from a water fountain that is a toilet.,46111
21,182417,coco-30k,A beautiful dessert waiting to be shared by two people,26502
22,119964,coco-30k,A person holding a skateboard overlooks a dead field of crops.,53235
23,230610,coco-30k,A bathroom with a sink and shower curtain with a map print.,20618
24,226419,coco-30k,A random plane in the sky flying alone,95749
25,218026,coco-30k,A brown and black horse in the middle of the city eating grass.,82701
26,352538,coco-30k,A brown purse is sitting on a green bench.,77506
27,202913,coco-30k,Half of a white cake with coconuts on top.,90351
28,202658,coco-30k,An old toilet with a hello kitty cover top. ,97789
29,79472,coco-30k,Office space with office equipment on desk top.,11131
30,346071,coco-30k,Two husky's hanging out of the car windows.,54741
31,6672,coco-30k,The back door with a window in the kitchen.,78518
32,419074,coco-30k,Jet liner flying off into the distance on an overcast day,27989
33,46378,coco-30k,A cat eating a bird it has caught.,53479
34,382406,coco-30k,A woman is walking a dog in the city.,60951
35,175948,coco-30k,A tiny bathroom with only a toilet and a shelf.,48267
36,573223,coco-30k,A little girl in a public bathroom for kids.,10953
37,402514,coco-30k,A picture of a man playing a violin in a kitchen.,41009
38,93437,coco-30k,A shot of an elderly man inside a kitchen.,28856
39,407286,coco-30k,A trio of dogs sitting in their owner's lap in a red convertible.,13147
40,172330,coco-30k,A cat in between two cars in a parking lot.,2670
41,82673,coco-30k,A small car is parked in front of a scooter,64740
42,141172,coco-30k,A door with a sticker of a cat door on it,52194
43,472678,coco-30k,An office cubicle with multiple computers in it,85612
44,104326,coco-30k,A pinewood and green modern themed kitchen area.,33034
45,581177,coco-30k,A kitchen is shown with wooden cabinets and a wooden celling.,91523
46,267802,coco-30k,A group of people riding mopeds in a busy street. ,69072
47,208408,coco-30k,A person walking in the rain on the sidewalk. ,81457
48,314251,coco-30k,A parade of motorcycles is going through a group of tall trees.,70097
49,560591,coco-30k,a modern flush toilet in a bathroom with tile. ,41670
50,507362,coco-30k,Fog is in the air at an intersection with several traffic lights.,72777
51,57429,coco-30k,An airplane with its landing wheels out landing. ,93360
52,153184,coco-30k,Little birds sitting on the shoulder of a giraffe. ,5425
53,571970,coco-30k,a man with a bike at a marina,45169
54,133680,coco-30k,A man is sitting on a bench next to a bike.,84823
55,139011,coco-30k,People are waiting for the bus near a bus stop.,3670
56,223747,coco-30k,a man sleeping with his cat next to him,36179
57,505386,coco-30k,four urinals in a public restroom with a window,25477
58,107990,coco-30k,A small child climbs atop a large motorcycle,89741
59,527510,coco-30k,A large U.S Air Force plain sits on an asphalt ramp.,57643
60,5247,coco-30k,A black and white photo of an older man skiing.,46637
61,107960,coco-30k,Riding a motorcycle down a street that has no one else on it.,81839
62,109976,coco-30k,An all white kitchen with an electric stovetop. ,70873
63,12667,coco-30k,The telephone has a banana where the receiver should be.,62254
64,410627,coco-30k,The young man is stirring his pot of food with a wooden spoon.,44183
65,232223,coco-30k,A fighter jet is flying at a fast speed.,76887
66,22793,coco-30k,A public bathroom with a bunch of urinals.,82315
67,436456,coco-30k,The airplane is on the runway with two young men standing by.,4147
68,368402,coco-30k,The woman in the kitchen is holding a huge pan.,16720
69,135161,coco-30k,A toilet sits next to a window and in front of a shower.,94272
70,178761,coco-30k,A dog and a goat with their noses touching at fence.,58805
71,491000,coco-30k,Pedestrians walking down a sidewalk next to a small street.,14625
72,538092,coco-30k,A man standing in a kitchen while closing a cupboard door.,41678
73,205577,coco-30k,A photograph of a kitchen inside a house.,16817
74,508672,coco-30k,a bike leaning on a metal fence next to some flowing water. ,58906
75,334015,coco-30k,a small toilet stall with a toilet brush and 3 rolls of toilet paper ,60888
76,27842,coco-30k,A dual sink vanity with mirrors above the sinks.,604
77,358606,coco-30k,A fireplace with a fire built in it.,25350
78,567730,coco-30k,The sign of a restaurant in the outside of the store.,15596
79,61259,coco-30k,an airport with one plane flying away and the other sitting on the runway,36194
80,554037,coco-30k,"a counter with vegetables, knife and cutting board on it. ",83202
81,5394,coco-30k,A boat that looks like a car moves through the water. ,10169
82,455384,coco-30k,A delivery truck with an advertisement for Entourage.,43593
83,249352,coco-30k,A black and white toilet with a plunger.,2689
84,348306,coco-30k,A bike leaning against a sign in Scotland.,68696
85,482917,coco-30k,A dog sitting between its masters feet on a footstool watching tv,64297
86,475593,coco-30k,Women father around a desk and machinery in a factory.,66052
87,145523,coco-30k,A few items sit on top of a toilet in a bathroom stall.,6237
88,143370,coco-30k,A bathroom with a poster of an ugly face above the toilette.,4419
89,279806,coco-30k,A dirt bike rider doing a stunt jump in the air,54899
90,59171,coco-30k,A couple of birds fly through a blue cloudy sky.,49590
91,369826,coco-30k,A picture advertising Arizona tourism in an airport,45863
92,534605,coco-30k,Man in motorcycle leathers standing in front of a group of bikes,70037
93,400552,coco-30k,A variety of pots are stored in a nook by a fireplace.,17016
94,238836,coco-30k,A car is stopped at a red light,54156
95,264461,coco-30k,A bathroom with a traditional toilet next to a floor toilet.,92514
96,342387,coco-30k,A group of people preparing food in a kitchen.,34982
97,488327,coco-30k,Posted signs point the way through a parking garage.,76569
98,540860,coco-30k,A green car on display next to a busy street.,49222
99,172851,coco-30k,A large passenger jet taking off from an airport.,87976
100,486194,coco-30k,Young woman carrying an opened umbrella in a city neighborhood.,36632
101,236148,coco-30k,An older man backing up a truck with a bicycle in it's flat bed.,24012
102,289393,coco-30k,Set of toy animals sitting in front of a red wooden wagon.,88656
103,115930,coco-30k,A group of men standing in front of a bar having a conversation.,29444
104,75663,coco-30k,A children play area absent of any children.,81366
105,352794,coco-30k,Fruit in a jar filled with liquid sitting on a wooden table.,42517
106,561256,coco-30k,A woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.,1699
107,175954,coco-30k,A work station in use inside an office.,65251
108,484751,coco-30k,Three computer screens showing a panoramic beach scene.,12316
109,457834,coco-30k,Elephants are in a long line with people on top of them.,5121
110,412151,coco-30k,A bicycle store shows two males leaning toward a bike.,89688
111,427091,coco-30k,City traffic and pedestrians are headed in multiple directions on the street.,92488
112,32203,coco-30k,There are some dirt bike riders taking a sharp turn,55189
113,525971,coco-30k,A large group of motorcycle riders collect in a parking lot. ,31088
114,354572,coco-30k,People sitting under an umbrella looking at the scenery.,11980
115,185360,coco-30k,A cow standing next to a damaged car on a dirty lot.,79355
116,338325,coco-30k,A striped plane flying up into the sky as the sun shines behind it.,22651
117,65485,coco-30k,A dog driving an SUV in an open grass covered field.,25962
118,226662,coco-30k,A customized motorcycle with more in the background.,87586
119,321064,coco-30k,A small wooden table covered with delicious vegetables. ,72342
120,11511,coco-30k,A sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. ,84582
121,263664,coco-30k,A couple on a motorcycle in front of a bus and a metermaid car,91607
122,468508,coco-30k,A red motorcycle parked on a sidewalk near multi-story buildings.,34269
123,31984,coco-30k,A model standing next to a scooter in the middle of a room of people,61883
124,322791,coco-30k,An airplane is doing tricks and emitting smoke.,65938
125,295768,coco-30k,Computer monitor and accesories sitting on a desk.,24200
126,229067,coco-30k,A group of people skiing down a snow covered slope.,70299
127,156324,coco-30k,A woman takes a selfie in front of a bathroom mirror.,94278
128,508605,coco-30k,Boy rides skateboard and does trick over stairs.,80162
129,268224,coco-30k,Three young people in a kitchen pointing to a pizza.,36210
130,206260,coco-30k,Assorted flavored donuts being grabbed by multiple hands.,77756
131,489528,coco-30k,An outside doorway to a restroom showing a destroyed wall and damaged floor.,30124
132,450308,coco-30k,A man stands with his bike in ankle deep water in a flooded city.,89971
133,221754,coco-30k,There is very little traffic at this city intersection.,1066
134,446409,coco-30k,A tabby cat laying on a cat scratcher in front of a bicycle wheel. ,47435
135,420958,coco-30k,This a view from an airplane of the landscape below.,2857
136,523400,coco-30k,"A bathroom with double sinks, mirrors, toilet and towel racks.",43009
137,40986,coco-30k,Raw cookies in a pan on the counter and baked cookies in a pan on the stove.,51873
138,8045,coco-30k,Tub and shower on platform in modern tiled bathroom.,44012
139,249025,coco-30k,An orange reddish rose in a vase filled with water on top of a table.,68992
140,255965,coco-30k,A cat pausing as it's picture is taken.,21718
141,529691,coco-30k,A row of park benches on the side of a green grassy hill. ,78007
142,482597,coco-30k,A man in an ATV is moving the cows along.,7552
143,51191,coco-30k,The view of a large bathroom with a walk in closet.,15294
144,249371,coco-30k,"Many sheep grazing in a large, green pasture.",56793
145,51598,coco-30k,A black trash bag in a restroom next to a sink.,91062
146,408364,coco-30k,A young man standing next to a race car with the red sox logo on it's hood.,47749
147,267862,coco-30k,A guy sitting on his motorcycle while a woman stands beside him,93338
148,536321,coco-30k,An adorable caleco cat sitting underneath a bicycle.,30304
149,148272,coco-30k,An adorable cat attempts to hide in a purse to steal the persons identity.,62285
150,36450,coco-30k,A very big teddy bear is next to a woman.,83334
151,138599,coco-30k,A BMW motor cycle parked next to shrub..,19005
152,501055,coco-30k,A photograph taken from an airplane window while in flight.,87363
153,445846,coco-30k,A clean kitchen with the windows white and open.,49142
154,363272,coco-30k,A man sitting on a stone block talking on a cell phone.,41014
155,231846,coco-30k,A yellow stripped cat sitting in a bathroom sink.,13464
156,260409,coco-30k,A person in a helmet standing by their motorcycle.,88045
157,220704,coco-30k,A cafeteria type kitchen that is not in use.,10412
158,158466,coco-30k,A young man jumping up into the air to catch a Frisbee.,72378
159,100138,coco-30k,A black motorcycle parked in front of trees.,86021
160,192871,coco-30k,A glass bowl filled with oranges on a table.,72208
161,349344,coco-30k,A yellow dune buggy on display amongst other automobiles.,22338
162,365642,coco-30k,A young attractive woman sitting on a toilette on the side of a street.,4296
163,317639,coco-30k,A woman is taking a picture of herself in a bathroom mirror.,40647
164,393569,coco-30k,A young woman using a laptop computer while sitting on a bunk bed.,20052
165,556837,coco-30k,A toilet in a stall with remote control buttons.,95809
166,282346,coco-30k,A skateboarder is riding his skateboard at night.,74803
167,116479,coco-30k,An old victorian style bed frame in a bedroom.,45518
168,63740,coco-30k,Two computers sitting on top of a desk.,38201
169,477016,coco-30k,A young child stands in the kitchen with an adult.,76099
170,172710,coco-30k,A woman kisses a man as they sit on a motorcycle.,7315
171,214274,coco-30k,A man and a woman cook in the kitchen.,33160
172,385757,coco-30k,A picture taken from the driver seat of car at a stop sign.,48874
173,181586,coco-30k,A black and white cat sits near a window looking outside.,44024
174,383464,coco-30k,The exterior of an airport with some planes.,8266
175,552979,coco-30k,A cat looking inside of a door from the outside.,42254
176,289714,coco-30k,A person in a kitchen looking at the oven.,64627
177,425690,coco-30k,An overview picture of a street at night.,87654
178,19523,coco-30k,two women loading their bicycles onto a bus rack,43624
179,570736,coco-30k,A view of a bathroom that is clean.,45536
180,510992,coco-30k,A picture of a white gas range with figurines above.,35501
181,278237,coco-30k,A street scene with several cars and a bus.,18246
182,319275,coco-30k,a person riding skis in the middle of a snowy street,85943
183,492937,coco-30k,A close up of a bike brake on a bicycle.,75512
184,430750,coco-30k,People walking toward an airplane to board it.,66961
185,370462,coco-30k,A ski resort that has a couple people outside. ,97940
186,205570,coco-30k,A woman uses a paintbrush on a melting candle.,78190
187,117425,coco-30k,A toddler celebrates his birthday with a cupcake.,83710
188,443351,coco-30k,One white motorcycle and one green motorcycle parked on the road,85041
189,97790,coco-30k,1 military jet fighter flying in formation alongside a 1 military propeller pilot. ,31506
190,375415,coco-30k,Fruit and vegetables are hanging in a metal basket.,90870
191,159977,coco-30k,A giraffe and a zebra checking each other out.,38299
192,576981,coco-30k,"Oranges in a basket, a pillow and a bottle of liquor.",12810
193,124766,coco-30k,A man wearing a blue bow tie and a fedora hat in a car. ,52790
194,498547,coco-30k,The kitchen has many grill with pots hanging all around.,740
195,561620,coco-30k,Light from an open door shines on a simple wooden pew in a church.,60177
196,239985,coco-30k,A dog with goggles is in a motorcycle side car.,39678
197,43098,coco-30k,A man is walking down the street in front of a red door.,27929
198,325374,coco-30k,A woman holding a sheep by its front legs.,64190
199,568265,coco-30k,A man flying a kite in a park on a clear day,85576
200,14297,coco-30k,A house boat along the water has bicycles on deck.,84693
201,30423,coco-30k,Four giraffes in the wild eating from trees.,98366
202,8180,coco-30k,A large airplane is on the airport runway.,60899
203,207652,coco-30k,A parked motorcycle with a red enclosed side car.,84614
204,232538,coco-30k,A yellow and blue train is next to an overhang.,73321
205,510150,coco-30k,A stoic looking cat sits in a green bowl.,86600
206,436972,coco-30k,A man in a uniform standing on a motorcycle in front of a crowd.,37142
207,564911,coco-30k,A oneworld passenger plane taking off from an airport.,24775
208,373193,coco-30k,A girl is sitting by her dog on the stairs.,55112
209,127585,coco-30k,An office with a leather couch surrounded by books.,58846
210,349590,coco-30k,Women taking picture of themselves while brushing their teeth.,21835
211,372413,coco-30k,Motorcyclist is taking a turn while onlookers observe ,79501
212,102625,coco-30k,An empty kitchen filled with dishes and appliances.,98854
213,145093,coco-30k,A stone building with a clock displayed on the outside. ,63897
214,100711,coco-30k,"Entertainment room with rack of dvds, tv and seating area.",83525
215,300216,coco-30k,A clean white bathroom with a simple mirror above the vanity.,34991
216,306313,coco-30k,An oven in a kitchen with a stove on top in between counter tops.,28527
217,349804,coco-30k,Three airplanes on display behind a high fence.,93680
218,548706,coco-30k,A bathroom sink and towels hanging on the door.,2501
219,271206,coco-30k,A white sink sitting underneath a round mirror.,1203
220,177934,coco-30k,A group of women operating a car wash.,13712
221,369763,coco-30k,A polie officer standing next to a  motorcycle parked on the street.,99063
222,312724,coco-30k,A group of different animals are grazing in the wild. ,39079
223,96549,coco-30k,An airplane on the runway either just landed or ready to take off.,83151
224,322604,coco-30k,A motorcycle rally on the street with many spectators.,71189
225,445002,coco-30k,an empty modern style bathroom for two people,10836
226,469192,coco-30k,A car is parked on dry grass with kites overhead.,55529
227,39430,coco-30k,Two sheep are looking over a cement wall.,39121
228,215708,coco-30k,People are looking at a decorative cake with long candles.,53653
229,123843,coco-30k,A white bathroom has a white shower curtain.,89257
230,175024,coco-30k,A person sits on top of a motorcycle with a stuffed toy.,57261
231,106900,coco-30k,"A woman, man, and a dog standing in the snow. ",17536
232,74132,coco-30k,A bathroom with a large bathtub and sink under a large mirror.,81949
233,428769,coco-30k,Car parked at meter with license plate that says SUPABAAD.,75009
234,69236,coco-30k,a wooden and metal bench near a over grown bush,84275
235,262594,coco-30k,People standing on a roadway next to a vintage motorcycle.,46814
236,32054,coco-30k,A dog standing next to an address marker and a woman holding an umbrella.,4572
237,56070,coco-30k,A motorcycle parked next to a yellow thing and tree.,63748
238,11334,coco-30k,A close up detail of an ornate brickwork cathedral,88938
239,81505,coco-30k,The plane is flying through a clear blue sky.  ,42391
240,555472,coco-30k,An elephant is crossing a road while a jeep is parked watching. ,61891
241,468858,coco-30k,An old floor standing tv next to a leather couch.,71695
242,104381,coco-30k,A car stopped at a traffic light with it's brake lights on.,97248
243,525667,coco-30k,People standing around a park bench next to a bicycle.,35295
244,549386,coco-30k,A man standing outside of a building next to bicycles.,59157
245,237920,coco-30k,Empty seats in front of a building on a sidewalk.,63329
246,155997,coco-30k,A dog rides in a cart pulled by a man on a bike.,2438
247,5879,coco-30k,Two bicycle riders riding in the city at night.,90436
248,93959,coco-30k,A white kitchen with marble countertops and stone floors.,94645
249,251075,coco-30k,A bathroom with a vanity mirror toilette and kitchen sink next to a shower.,26084
250,281950,coco-30k,A lone toilet sits in a large bathroom.,69399
251,370210,coco-30k,Two dogs in a car looking out the window.,72155
252,531111,coco-30k,A bathroom with a black and white checkered floor.,56732
253,499177,coco-30k,A man riding a dirt bike on a country road in a forest.,33001
254,75118,coco-30k,A fighter jet doing tricks with smoke trailing behind it.,37667
255,90732,coco-30k,A little girl is mixing in a  kitchen bowl while standing on a chair.,12361
256,301574,coco-30k,three motor cycle racers posing on their parked bikes,41815
257,241876,coco-30k,A cat on the lid of a toilet looking perturbed.,15004
258,34474,coco-30k,A home with lots of wood darkly stained.,32637
259,364113,coco-30k,Two people riding different colored horses down a dirty road.,44111
260,79920,coco-30k,A living room with a large tv and pictures all around.,81763
261,494629,coco-30k,A man sits on a toilet while working on his computer at his desk.,12466
262,61422,coco-30k,A bathroom with a sink and a toilet. ,94595
263,44652,coco-30k,A flying plane with smoke trailing behind it.,19308
264,210502,coco-30k,Part of train car with a door to the rear connected to the car behind it,51325
265,146961,coco-30k,A man is cooking in a crowded kitchen.,44170
266,9288,coco-30k,A toilet in a restroom next to a toilet paper dispenser,52285
267,136783,coco-30k,A rock wall next to a green tiled room.,54987
268,120157,coco-30k,A toilet bowl with no toilet seat in a restroom,71417
269,193680,coco-30k,Full grown cat laying down and sleeping on top of a car. ,15400
270,298396,coco-30k,Kitchen area with counter top space and dining room table. ,14390
271,565635,coco-30k,two lines of motorcycles driving down the road while a crowd watches,39890
272,561780,coco-30k,A group of older people sitting on a park bench with a dog on a leash.,31219
273,187513,coco-30k,A bathroom with a sliding shower door next to a toilet.,30354
274,230600,coco-30k,A toilet on the outside of a building next to a parking meter.,49199
275,552883,coco-30k,"A view of a kitchen with cabinets, a sink and a clothes washer.",1721
276,69293,coco-30k,"The bathroom toilet with the cover up, sink, and bathroom items are shown.",76545
277,369979,coco-30k,Several pieces of art and a painting on display,11217
278,21711,coco-30k,Motorcyclists and a bicycle are parked on a yard.,64958
279,293153,coco-30k,The sightseeing boat streams along the river joined by a plane,61324
280,20788,coco-30k,A woman hovering over food on a wooden table.,29479
281,228214,coco-30k,A Marine that is looking at his cell phone.,44841
282,424378,coco-30k,A man with glasses riding in a car with an adorable dog in the backseat.,11012
283,400456,coco-30k,A man riding on the back of a brown horse in front of a truck.,90092
284,186697,coco-30k,A peson riding a bike down a long narrow road.,81179
285,336384,coco-30k,An airliner taking off from an airport runway.,77880
286,154419,coco-30k,A dog wearing a protective cone around it's head watching TV.,16050
287,331366,coco-30k,A man riding a bicycle down a sidewalk.,61946
288,251639,coco-30k,A cat sniffing an upside down blue bicycle.,11792
289,372113,coco-30k,A celebration with cake for Navy members stationed in Thailand,30267
290,554625,coco-30k,a boy wearing headphones using one computer in a long row of computers,27322
291,453634,coco-30k,A bathroom with a toilette with it's seat down.,27268
292,297414,coco-30k,A kitchen filled with dishes and appliances with lots of cupboards..,11022
293,412693,coco-30k,Two adorable birds perched on a piece of bamboo.,4544
294,442609,coco-30k,A messy kitchen with pots and pans laying around.,71272
295,132901,coco-30k,A man and a woman standing next to a motor cycle.,26846
296,75101,coco-30k,A large bathroom with an enclosed toilet and a large sink.,56005
297,493753,coco-30k,An office desk holding multiple computers and various supplies.,71044
298,521906,coco-30k,A man wearing a striped suit standing next to butcher knives.,82626
299,353982,coco-30k,A woman sitting at a table while holding a pair of scissors.,23695
300,85316,coco-30k,An old picture of a family on their farm.,8004
301,201775,coco-30k,A bathroom with two urinals and a sink.,63220
302,527260,coco-30k,A kitchen cluttered with dishes with a stove and oven.,929
303,85145,coco-30k,An airplane flying in a blue sky with it's landing gear down.,49328
304,533900,coco-30k,A wooden bathroom with a wooden toilet next to a window.,91007
305,102735,coco-30k,Dog in parking lot and on a leash.,49060
306,56752,coco-30k,Man on a bicycle riding on the road next to a river.,84031
307,391375,coco-30k,A girl sitting on a bench in front of a stone wall.,60768
308,522137,coco-30k,Three Mercedes Benz on the top of a train as cargo ,21115
309,544713,coco-30k,A man sitting on a parked motorcycle on the street ,82340
310,448151,coco-30k,A birthday boy with car shaped cake and candles on it.,27392
311,537955,coco-30k,A brown dog standing on the kitchen floor looking up.,21474
312,557501,coco-30k,A bathroom is very colorful with blue yellow and red.,25275
313,327565,coco-30k,A collection of photos of an old motorcycle and parts.,74967
314,411564,coco-30k,A man sitting in a window ledge with a cell phone in his hand.,17262
315,438258,coco-30k,A little girl in ponytails holding on to a teddy bear.,38461
316,435880,coco-30k,A refrigerator next to a red wall in the kitchen. ,58673
317,555050,coco-30k,"A car driving in an intersection, past a furniture shop. ",12451
318,306444,coco-30k,A bathroom scene with focus on the toilet.,7448
319,139440,coco-30k,Six people in a boat rowing on a body of water.,56982
320,401411,coco-30k,A chef in a kitchen preparing a meal.,23006
321,31519,coco-30k,A group of rescue workers helping an overturned car,46136
322,220255,coco-30k,A large commercial airplane sitting on the runway.,43305
323,383601,coco-30k,A toilet with an object hanging off of it.,13833
324,154324,coco-30k,An empty bathroom with a shower next to a toilet.,49236
325,368978,coco-30k,A four engine jet transport airplane flying low.,15612
326,466085,coco-30k,A bathroom that has been gutted with the shower basin the only thing left.,34729
327,237428,coco-30k,A blonde woman sitting on a park bench next to a green bike.,75142
328,5802,coco-30k,Two men wearing aprons working in a commercial-style kitchen.,58071
329,272015,coco-30k,A park bench in front of a porch in a green grass filled park.,23299
330,108283,coco-30k,A rotten door leading into a restroom covered in filth.,11621
331,360673,coco-30k,A group of motorcycles parked side by side in front of a donuts shop.,83658
332,465877,coco-30k,A chef in a kitchen standing next to a counter with jars and containers.,50020
333,524954,coco-30k,A urinal is displayed with modern porcelain structuring.,45000
334,242363,coco-30k,"A bathroom with a sink, toilet and shower bathtub combination.",95062
335,488943,coco-30k,A European street scene with a motorcycle and a car.,36351
336,396673,coco-30k,Two large commercial airplanes sitting on the runway.,55018
337,8218,coco-30k,A building with a black and gold clock on it.,59338
